ID,Age,Job,Credit amount,Duration,monthly_payment,credit_duration_ratio,age_credit_ratio,high_credit_flag,long_duration_flag,young_applicant_flag,no_checking_flag,no_savings_flag,financial_instability_flag,Sex_encoded,Saving_accounts_encoded,Checking_account_encoded,Housing_own,Housing_rent,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,age_group_early_career,age_group_mid_career,age_group_senior,duration_category_medium_term,duration_category_long_term,credit_category_medium,credit_category_high,Risk_encoded
828,1.0074074069093943,2,1.794809787137261,1.2525737273156552,0.4161333154817482,0.5120460719620419,0.8535035011451217,1,1,0,0,0,0,1,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,1
997,0.21583532185748686,2,-0.8745032440026969,-0.738667542842371,-0.6563083740592783,-0.6971833139267009,-0.8589123885568877,0,0,0,0,0,0,1,1.0,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
148,-0.6636892170890771,2,0.744239633864278,1.2525737273156552,-0.12054018912733538,-0.08070046075215696,1.012276057700907,1,1,1,0,0,0,1,1.0,1.0,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,0
735,-0.5757367631944207,0,0.2547533377542951,1.2525737273156552,-0.3705894839536326,-0.3568755490376862,0.4176304535812692,1,1,1,0,0,0,0,,2.0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,0
130,-1.0154990326677027,2,1.8486851796127988,2.2481943623946683,0.05948262867211847,0.12679102705520406,2.786322139002855,1,1,1,0,0,0,0,,2.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,0
654,-0.048022039826482336,2,-0.3279515650732299,0.2569530922366421,-0.4558705975402987,-0.46045020633300937,-0.3559772956343253,0,0,0,0,0,0,1,1.0,,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0
784,2.1507893075399274,3,1.1330640124541778,-0.07492045278969563,1.014984175516864,1.1241908549033925,0.09104864110870628,1,0,0,0,0,0,1,,2.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,0
318,-0.3118794015104515,2,-0.9110109112723046,-0.738667542842371,-0.7122571301065816,-0.7558087949859195,-0.8507072747246938,0,0,0,0,0,0,1,1.0,,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0
272,0.03993041406817406,3,3.153745673658387,2.2481943623946683,0.5594906863569986,0.6827980166293192,2.6153111364753614,1,1,0,0,0,0,1,,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,0
783,-1.103451486562359,1,-0.86316105611311,-0.738667542842371,-0.6389262362581744,-0.6789695722383998,-0.6923670030070255,0,0,1,0,0,0,0,2.0,2.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
